url	col_taxon_id	country_code
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATVCEK	17326790	
http://www.nederlandsesoorten.nl/nsr/concept/0F8F098740E6	12570280	
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWWQCL	17447801	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBEIHYP	8654073	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBMDKLD	8661570	
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWVUZC	17429027	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCQLKYJ	17472412	NLD
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWYGXI	17376300	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATVKFQ	19802443	
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWTRPM	17415346	
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWVAQG	17305727	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00893	17390009	NLD
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBBLLWT	8720630	
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAWVGNK	17383845	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATVSCV	7837354	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSNUOF		
http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFAVHRQD		
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00990	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATXOUW	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATXUVD	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00177	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCXTPDLBDY	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/000464941103	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCDQKJB	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATYBVQ	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBASWJB	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATYETI	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI02003	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATYISD	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATYKPC	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI01610	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBWJBFJ	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04333	6518916	
http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFARYQUL	6518916	
