	countryCode	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
128	NL	http://www.nederlandsesoorten.nl/nsr/concept/0799ECF44B40	Acarospora rufescens (Ach.) Bausch, 1861	Acarospora rufescens 	Acarospora	rufescens		(Ach.) Bausch, 1861	5953486	1045	0	0	0	0	0
129	NL	http://www.nederlandsesoorten.nl/nsr/concept/0018AA8644D6	Acarospora sinopica (Wahlenb.) K_rb., 1859	Acarospora sinopica 	Acarospora	sinopica		(Wahlenb.) K_rb., 1859	2600524	950	0	0	0	0	0
130	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBRFYNE	Acarospora smaragdula (Wahlenb.) A. Massal.	Acarospora smaragdula 	Acarospora	smaragdula		(Wahlenb.) A. Massal.	5953484	2898	0	0	0	0	0
131	NL	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBRFZIC	Acarospora veronensis A. Massal.	Acarospora veronensis 	Acarospora	veronensis		A. Massal.	2600544	500	0	0	0	0	0
132	NL	http://www.nederlandsesoorten.nl/nsr/concept/000486670054	Acarospora versicolor Bagl. & Carestia	Acarospora versicolor 	Acarospora	versicolor		Bagl. & Carestia	2600519	15	0	0	0	0	0
133	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFOOGLOR	Acartauchenius scurrilis (O. P.-Cambridge, 1872)	Acartauchenius scurrilis 	Acartauchenius	scurrilis		(O. P.-Cambridge, 1872)	2136710	29	0	0	0	0	0
134	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04193	Acartia bifilosa (Giesbrecht, 1881)	Acartia bifilosa 	Acartia	bifilosa		(Giesbrecht, 1881)	2114441	78	3	0	0	0	0
135	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11748	Acartia tonsa Dana, 1848	Acartia tonsa 	Acartia	tonsa		Dana, 1848	2114446	2445	1	0	0	0	0
136	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBBSYVH	Acartophthalmus bicolor Oldenberg, 1910	Acartophthalmus bicolor 	Acartophthalmus	bicolor		Oldenberg, 1910	1443616	24	0	0	0	0	0
137	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBBSZRO	Acartophthalmus nigrinus (Zetterstedt, 1848)	Acartophthalmus nigrinus 	Acartophthalmus	nigrinus		(Zetterstedt, 1848)	1443614	102	0	0	0	0	0
